Unnamed: 0,model,price_label
321,f150 xlt 4x4 supercrew,5
322,f150 fx4 4x4 supercrew,8
323,lifted f150 lariat sport,10
324,f-150 sport ecoboost 4x4,-1
325,f-150 maxed out 4x4 eco,-1
326,f-150 raptor carbon,18
327,f150 sport 4x4,-1
328,f-150 lariat crew cab shor,10
329,f150 lariat fx4 4x4 gas,10
330,f-150 fx-4,-1
331,f-150 supercrew fx4 4x4,8
332,f150 xlt 4x4 supercab,5
333,f150 supercrew king ranch,14
334,f150 xlt crew,5
335,f150 sport fx2,7
336,f-150 xlt super crew,5
337,f-150 platinum crew cab 4x4,15
338,f-150 lariat crew cab 4x4,10
339,f-150 king ranch 4x4 ecoboo,14
340,f-150 xlt super crew 4 x 4,5
341,f150 xlt_4x4,5
342,f-150 supercrew 4x4,-1
343,f150 xlt supercab styleside,5
344,f150 fx4 super crew 4x4,8
345,f150 xlt 4×4,5
346,f150 platinum 4 x 4,15
347,f-150 xlt 4x2supercrew,5
348,f-150xl,2
349,f-150 4wd super cab,-1
350,f150 supercab xlt,5
351,f-150 supercrew lariat,10
352,f150 fx-2 sport,-1
353,f-150 crew cab limited,17
354,f150 4x4 platinum,15
355,f150 fx/2 sport,-1
356,f-150 xlt 4dr super crew,5
357,f-150 xlt sport,5
358,f-150 stx sport,3
359,f150 4wd,-1
360,f-150 supercrew 4wd,-1
361,f150 xlt crew 4x4,5
362,f-150 xlt supercab,5
363,f-150 lariat *fr $499 down guaranteed finance 4wd,10
364,f-150 xlt 4wd,5
365,f150 supercrew lariat,10
366,f150 raptor supercrew 4x4,18
367,f-150 fx4 4x4,8
368,f150 supercrew xlt 4x4,5
369,f150 super crew fx4,8
370,f-150 supercrew xlt,5
371,f150 super crew xl 4x4,2
372,f150 super crew xlt 4x4,5
373,f-150 4x4 sport xlt,5
374,f150 xlt lariat 4x4,10
375,f-150 supercab 145 in,-1
376,f-150 supercrew 145 in,-1
377,f-150 supercrew xl 4x4,2
378,f150 fx4 ecoboost,8
379,f150 lariat fx4 super crew,10
380,f-150 crew 4x4 v8,-1
381,f150 fx4 crewcab,8
382,f150 platinum/30 ft trailer,15
383,f150 svt lightning,11
384,f-150 4x4 4 dr,-1
385,f150 supercrew platinum 4x4,15
386,f150 2011,-1
387,f150 lariat fx4,10
388,f150 xl fx4,2
389,f150 xlt fx4,5
390,f150 xlt sport,5
391,f150 king ranch fx4,14
392,f-150 xl series,2
393,f-150 sport,-1
394,f-150 4x4 super cab,-1
395,f-150 4x4 step side,-1
396,f150 lightning svt,11
397,f-150 xlt 4x4 fx4,5
398,f-150 4x4 super crew xlt,5
399,f-150 crew cab xlt 4x4,5
400,f-150 stx fx4 4x4,3
401,f-150 4x2,-1
402,f-150 xlt supercrew 4wd,5
403,f150 xl super crew 4x4,2
404,f150 reg cab,-1
405,f150 stx 4x2,3
406,f-150 lariat supercrew 4x4,10
407,f-150 4x4 super cab xlt,5
408,f150 lariat crewcab 4x4,10
409,f150 lariat supercab,10
410,f150 7700,-1
411,f150 xtra cab 4x4,-1
412,f-150 raptor 4wd!crew cab,18
413,f-150 xltextended cab,5
414,f-150 xlt 4wd!crew cab,5
415,f-150 xlt 4wd!extended,5
416,f-150 lariat 4wd!crew cab,10
417,f-150 fx4 4wd!crew cab,8
418,f150 fx4 supercrew,8
419,f150 xlt ext cab,5
420,f150 heritage,6
421,f150 super crew xlt,5
422,f150 supercrew cab xlt 4x4,5
423,f-150 fx4 4d supercrew automatic,8
424,f150 regular cab 2wd,-1
425,f-150 xlt 4d supercrew automatic,5
426,f150 4x4 crew cab,-1
427,f150 xl 4x4,2
428,f150 stx 4x4,3
429,f-150 lariat 4x4 crewcab,10
430,f150 super crew cab limited,17
431,f150 super cab stx 4x4,3
432,f150 crew lariat 4wd v8,10
433,f-150 supercrew lariat 5.0,10
434,f-150 supercrew fx4,8
435,f-150 crew lariat v8 5.0,10
436,f-150 fx4 supercrew 5.5-ft.,8
437,f-150 supercab stx,3
438,f-150 lariat supercab,10
439,f-150 4x4 lariet,-1
440,f-150 stx supercrew,3
441,f-150 lariat supercrew,10
442,f150 xlt crew cab,5
443,f150 sport,-1
444,f-150 crew lariat 5.0 v8,10
445,f150 crew lariat v8 5.0,10
446,xlt f150,5
447,f-150 stx fx4,3
448,f150 fx4 off road,8
449,f-150 fx4 3.5 ecoboost,8
450,f-150 4x4 crew 5.0,-1
451,f-150 xl crew cab 4x4,2
452,f150 xlt sport edition,5
453,f150 supercrew lariat 4x4,10
454,f-150 lariet,-1
455,f150 ecoboost lariat,10
456,f150 crew xlt 4x4,5
457,f150 pickup,-1
458,f-150 xlt sport lifted,5
459,f-150 platinum ecoboost,15
460,f-150 lariat ecoboost 4x4,10
461,f150 fx2 rwd 1/2 ton gas,7
462,f-150 sport package 4x4,-1
463,lifted f150 xl 4x4 half ton,2
464,f-150 lariat 4x4 loaded,10
465,f150 xl rwd,2
466,f-150 xlt crew cab short b,5
467,lifted f150 xl 4x4 1/2 ton,2
468,f150 supercrew fx4 4x4,8
469,f-150 clubcab,-1
470,f150 crew cab 4x4 xlt,5
471,f150 lariat 4x4 supercab,10
472,f150 super cab 4x4 xlt,5
473,f150 crew cab king ranch,14
474,f-150 fx4 luxury package,8
475,f-150 stx supercab,3
476,f150 xlt supercab 4x4,5
477,f150 xlt lariat,10
478,f150 xlt ext. cab,5
479,"f-150 4wd supercab 163"" xlt",5
480,f-150 lariat 4x4supercrew,10
481,f150 supercrew fx4,8
482,f-150 crew 4x4 lariat,10
483,f150 supercab 4dr,-1
484,f150 super cab 4wd,-1
485,f150 supercrew fx4 4wd,8
486,f-150 xlt flare side,5
487,f-150 extended cab 4x4,-1
488,f150 stepside 4x4,-1
489,f-150 shelby edition,-1
490,f150 lariat 4x4 crew cab,10
491,f-150 xl supercab,2
492,f-150 xl 4wd supercab 6.5' box,2
493,f150 4 x 4,-1
494,f-150 supercab shortbox,-1
495,f-150 fx4 4x4supercrew,8
496,f150 crewcab platinum,15
497,f-150 raptor svt,18
498,f-150 2wd supercab 145 xl,2
499,f-150 raotor,-1
500,super duty f-150 xcab-4x4,-1
501,f-150 fx4 4x4 4dr supercab,8
502,f150 4x4 xtr,-1
503,f150 supercab 4x4,-1
504,f-150 4x4 supercab,-1
505,lightning f150,11
506,f150 xl extended cab,2
507,f-150 raptor super crew cab,18
508,f-150 crew cab xlt,5
509,f-150 4dr 4x4,-1
510,f150 triton,-1
511,"f-150 supercab 139"" lariat",10
